,Name,Notes,category
25,Puritas Eau de Parfum,"['elemi', 'pink pepper', 'absinthe', 'olibanum', 'rose', 'indian tuberose absolut', 'geranium', 'labdanum', 'patchouli', 'tonka and amber']","WOODS MOSSES,BEVERAGES,SPICES,FLOWERS,RESINS BALSAMS"
26,Thurible Eau de Parfum,"['clove', 'ash', 'sage', 'black pepper', 'labdanum', 'incense', 'rose', 'patchouli', 'leather', 'ambergris and moss']","WOODS MOSSES,SPICES,NATURAL SYNTHETIC POPULAR WEIRD,FLOWERS,GREENS HERBS FOUGERES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
27,Suede Eau de Parfum,"['suede', 'tobacco leaf', 'leather']",MUSK AMBER ANIMALIC
28,Amber Eau de Parfum,"['saffron', 'smoke', 'incense', 'amber', 'maple', 'black musk', 'tonka bean and resins']","WOODS MOSSES,SPICES,NATURAL SYNTHETIC POPULAR WEIRD,RESINS BALSAMS,MUSK AMBER ANIMALIC"
29,Interlude Black Iris Eau de Parfum,"['bergamot', 'rosemary', 'violet leaves', 'orris', 'amber', 'frankincense', 'cistus', 'myrrh', 'vanilla', 'leather', 'agarwood smoke', 'patchouli', 'sandalwood', 'cedar']","WOODS MOSSES,SPICES,CITRUS,GREENS HERBS FOUGERES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
30,Escale En Haiti Eau De Cologne,"['pink pepper', 'juniper', 'haitian vetiver', 'tonka bean', 'myrhh']","GREENS HERBS FOUGERES,SPICES"
31,Escale En Indonesie Eau De Cologne,"['bergamot', 'lemon', 'neroli', 'indonesian ambergris', 'jasmine', 'sandalwood']","WOODS MOSSES,CITRUS,WHITE FLOWERS"
32,Zeste de Gingembre Eau de Parfum,"['lemon', 'lime', 'orange zest', 'fresh ginger', 'pink pepper', 'cardamom']","SPICES,CITRUS"
33,Haute Provence Eau de Parfum,"['lavender', 'melon', 'watermelon', 'narcissus']","FRUITS VEGETABLES NUTS,FLOWERS"
34,Escentric 05 - Travel Spray Eau de Toilette,"['fig', 'bergamot', 'orange', 'laurel', 'rosemary', 'juniper', 'basil', 'hedione', 'cypress', 'freesia', 'iris', 'jasmine', 'cashmeran', 'cistus labdanum', 'musc', 'ambroxan', 'mastic', 'iso e super']","WOODS MOSSES,FRUITS VEGETABLES NUTS,WHITE FLOWERS,NATURAL SYNTHETIC POPULAR WEIRD,CITRUS,FLOWERS,GREENS HERBS FOUGERES,MUSK AMBER ANIMALIC"
35,1979 New Wave Eau de Parfum,"['peppermint', 'spearmint', 'aldehydes', 'orris concrete', 'virginia cedar', 'australian sandalwood', 'musk', 'amber wood']","GREENS HERBS FOUGERES,NATURAL SYNTHETIC POPULAR WEIRD,MUSK AMBER ANIMALIC"
36,2018 Roxo Tonic Eau de Parfum,"['calabrian bergamot', 'calabrian lemon', 'ginger', 'french gentian', 'tunisian neroli', 'tea', 'haitian vetiver', 'ambroxan', 'musk']","GREENS HERBS FOUGERES,SPICES,MUSK AMBER ANIMALIC"
37,Sel d'Argent Eau de Parfum,"['italian bergamot', 'grapefruit', 'salt accord', 'orange blossom absolute from tunisia', 'ylang-ylang essence from madagascar', 'galbanum essence from iran', 'ambroxan', 'cashmeran', 'timbersilk', 'white musk']","NATURAL SYNTHETIC POPULAR WEIRD,CITRUS,MUSK AMBER ANIMALIC"
38,Citrus Riviera Eau de Parfum,"['moroccan neroli', 'italian mandarin', 'italian lemon', 'fig', 'moroccan orange blossom absolute jasmine', 'strawberry', 'eucalyptus', 'everlasting flower absolute', 'patchouli from indonesia', 'vetiver from haiti', 'tonka bean absolute']","WOODS MOSSES,FRUITS VEGETABLES NUTS,FLOWERS"
39,Smoke Show Eau de Parfum,"['pink pepper', 'saffron', 'rose oil', 'leather', 'vetiver', 'cedarwood', 'agarwood']","SPICES,WOODS MOSSES,MUSK AMBER ANIMALIC"
40,Do Not Disturb Eau de Parfum,"['pink pepper', 'carrot', 'iris', 'jasmine petals', 'ambroxan', 'patchouli', 'white musks']","WOODS MOSSES,FRUITS VEGETABLES NUTS,SPICES,FLOWERS,MUSK AMBER ANIMALIC"
41,Room Service Eau de Parfum,"['mandarin nectar', 'blackberry', 'pink orchid', 'bamboo', 'violet', 'black amber', 'musk', 'sandalwood']","WOODS MOSSES,FRUITS VEGETABLES NUTS,FLOWERS,MUSK AMBER ANIMALIC"
42,Purple Fig Eau de Parfum,"['sichuan pepper', 'angelica seeds', 'galbanum', 'green fig', 'jasmine absolute', 'vetiver', 'cashmere woods']","GREENS HERBS FOUGERES,SPICES,WOODS MOSSES"
43,Basilico & Fellini Eau de Parfum,"['dragon fruit', 'basil', 'violet', 'wild fig', 'vetiver', 'green hay']","GREENS HERBS FOUGERES,WOODS MOSSES,FLOWERS"
44,Poets of Berlin Eau de Parfum,"['blueberry', 'lemon', 'vanilla', 'green wild orris', 'sandalwood', 'vetiver']","SPICES,WOODS MOSSES,FRUITS VEGETABLES NUTS,CITRUS"
45,Morning Chess Eau de Parfum,"['bergamot', 'tuscan leather', 'galbanum', 'patchouli', 'black amber']","GREENS HERBS FOUGERES,WOODS MOSSES,CITRUS"
46,Mango Skin Eau de Parfum,"['blackberries', 'mango', 'black pepper', 'wild orris', 'black lotus', 'jasmine', 'patchouli', 'vanilla', 'pink sugar']","SPICES,WOODS MOSSES,FRUITS VEGETABLES NUTS,WHITE FLOWERS"
47,Dear Polly Eau de Parfum,"['bergamot', 'apple', 'ceylon black tea', 'oakmoss', 'musk', 'black amber']","WOODS MOSSES,FRUITS VEGETABLES NUTS,CITRUS,MUSK AMBER ANIMALIC"
